Ticker,MAE,RMSE,MAPE%,DirAcc,Group
ACB,196.4374,314.8327,0.9254,0.4259,LONG
BMC,297.0333,459.7467,1.6207,0.48,LONG
BMP,1841.0116,2669.1063,1.5886,0.4633,LONG
DHA,502.7137,783.7321,1.0862,0.4409,LONG
DHG,617.4459,1049.9684,0.6364,0.4185,LONG
DMC,666.4452,1074.7571,1.0757,0.3712,LONG
FMC,411.8055,637.9876,1.0108,0.4553,LONG
FPT,1201.4677,1688.0689,1.282,0.4789,LONG
GMD,855.6986,1259.5673,1.3852,0.4824,LONG
HAX,193.2856,280.2019,1.4309,0.4253,LONG
KDC,316.5923,537.9955,0.5781,0.4462,LONG
MHC,185.1042,271.1141,1.9814,0.4841,LONG
PAC,430.7633,626.5626,1.855,0.4672,LONG
PET,594.9601,883.9567,2.0494,0.478,LONG
PGC,105.3909,185.7824,0.7609,0.3424,LONG
PPC,98.9359,163.8097,0.8626,0.4089,LONG
PVD,434.4037,651.0606,1.6384,0.4505,LONG
RAL,881.848,1498.3753,0.807,0.3946,LONG
SAM,90.876,146.9317,1.2749,0.4537,LONG
SFI,270.0076,442.4475,1.012,0.3419,LONG
SJS,602.2045,1024.6205,1.608,0.4642,LONG
SSI,442.7122,646.9935,1.578,0.4874,LONG
STB,599.962,944.4639,1.4246,0.4631,LONG
TDH,65.5331,100.5418,1.7148,0.5144,LONG
VIP,162.6758,253.308,1.313,0.4137,LONG
VNE,91.1686,147.9266,1.6847,0.5032,LONG
VNM,635.262,945.6979,1.0523,0.4311,LONG
