,AUC,PR_AUC,F1,Precision,Recall,Threshold,PosRate
ACB,0.7923139910591777,0.6113413095340464,0.597457627118644,0.5261194029850746,0.6911764705882353,0.5800000000000003,0.29677632451057434
BMC,0.8030316845224528,0.6619919270099888,0.6337308347529813,0.49865951742627346,0.8691588785046729,0.48000000000000015,0.3031346797943115
BMP,0.8448255786875319,0.7234801281315244,0.6606498194945848,0.5228571428571429,0.8970588235294118,0.5400000000000003,0.29838433861732483
DHA,0.7004611330698288,0.4491264122948998,0.5055762081784386,0.3646112600536193,0.8242424242424242,0.48000000000000015,0.3005501925945282
DHG,0.7288714574898786,0.5719166876103059,0.5720250521920668,0.5074074074074074,0.6555023923444976,0.6000000000000003,0.2908215820789337
DMC,0.8246853210178393,0.6644624709199914,0.6857142857142857,0.6131386861313869,0.7777777777777778,0.5800000000000003,0.30922865867614746
FMC,0.7877702702702702,0.6051796854002978,0.5953307392996109,0.46504559270516715,0.827027027027027,0.5800000000000003,0.28792569041252136
FPT,0.8036488579171506,0.5799047734019851,0.6186291739894552,0.4835164835164835,0.8585365853658536,0.5800000000000003,0.29008790850639343
GMD,0.8210015343103539,0.605513242849364,0.6008771929824561,0.4691780821917808,0.8353658536585366,0.5600000000000003,0.29735302925109863
HAX,0.7881010931784836,0.6085732981079086,0.6101141924959217,0.4722222222222222,0.8617511520737328,0.5600000000000003,0.29581576585769653
KDC,0.7673264222714543,0.5368940952244688,0.5162287480680062,0.3638344226579521,0.8882978723404256,0.5600000000000003,0.301141619682312
MHC,0.7800970229861097,0.6342954823991667,0.5823293172690763,0.5330882352941176,0.6415929203539823,0.6000000000000003,0.28194788098335266
PAC,0.8104682950020801,0.6239355517010048,0.6469500924214417,0.5335365853658537,0.8215962441314554,0.5800000000000003,0.2870544195175171
PET,0.8444757777930623,0.7070816239114659,0.6554934823091247,0.5238095238095238,0.8756218905472637,0.5000000000000002,0.3045685291290283
PGC,0.7464579778948149,0.5807391369722996,0.5402298850574713,0.415929203539823,0.7704918032786885,0.5400000000000003,0.3021335303783417
PPC,0.7458133971291866,0.5230521701712909,0.6172006745362564,0.4765625,0.8755980861244019,0.5600000000000003,0.3066345751285553
PVD,0.7670673591775541,0.5120542317414187,0.5314685314685315,0.4253731343283582,0.7080745341614907,0.5600000000000003,0.290134072303772
RAL,0.7388856812933027,0.5431418622297538,0.5404040404040404,0.5245098039215687,0.5572916666666666,0.6400000000000003,0.3082215487957001
SAM,0.7796358231140839,0.660204011917576,0.6445993031358885,0.5441176470588235,0.7905982905982906,0.5800000000000003,0.2873839735984802
SFI,0.8434388248052843,0.6519234451534069,0.6610169491525424,0.5416666666666666,0.8478260869565217,0.6200000000000003,0.2739773094654083
SJS,0.7569939941481445,0.5887528360863075,0.6103448275862069,0.5236686390532544,0.731404958677686,0.5600000000000003,0.2857142984867096
SSI,0.8061604272905237,0.5285030300696666,0.5128205128205128,0.35377358490566035,0.9316770186335404,0.5200000000000002,0.26925525069236755
STB,0.8404524649863437,0.6611121923731343,0.6723768736616702,0.548951048951049,0.8674033149171271,0.5200000000000002,0.3026542663574219
TDH,0.70752016653656,0.503330566647739,0.5454545454545454,0.3986013986013986,0.8636363636363636,0.5000000000000002,0.2966655194759369
VIP,0.7899394838184993,0.6153312800879829,0.610989010989011,0.5325670498084292,0.7164948453608248,0.5800000000000003,0.30044689774513245
VNE,0.685055801512636,0.5071457950719485,0.5352622061482821,0.4289855072463768,0.7115384615384616,0.6000000000000003,0.2966655194759369
VNM,0.7919601046037827,0.5789447988263898,0.617169373549884,0.5495867768595041,0.7037037037037037,0.6400000000000003,0.3013085424900055
