,AUC,PR_AUC,F1,Precision,Recall,Threshold,PosRate
ACB,0.8080180823221508,0.5987566014034339,0.5935727788279773,0.4498567335243553,0.8722222222222222,0.5800000000000003,0.26287803053855896
BMC,0.8334968186638387,0.5719513322306944,0.6057441253263708,0.5296803652968036,0.7073170731707317,0.6400000000000003,0.26834309101104736
BMP,0.8143352203587112,0.5612831604631026,0.6039387308533917,0.4709897610921502,0.8414634146341463,0.5200000000000002,0.28841525316238403
DHA,0.7936708564473468,0.6019125380354208,0.5951859956236324,0.5333333333333333,0.6732673267326733,0.5800000000000003,0.29332876205444336
DHG,0.7661070896863289,0.5695000012291226,0.5538461538461539,0.4452296819787986,0.7325581395348837,0.6000000000000003,0.28497764468193054
DMC,0.8631913852178169,0.6059734079117594,0.6722689075630253,0.5245901639344263,0.935672514619883,0.6000000000000003,0.2816804349422455
FMC,0.7790290973135218,0.5704061795724413,0.593186372745491,0.4668769716088328,0.8131868131868132,0.5200000000000002,0.2810457646846771
FPT,0.802335622765795,0.5320145187696305,0.611439842209073,0.49363057324840764,0.8031088082901554,0.6000000000000003,0.2734161913394928
GMD,0.798562018963978,0.5978698399582381,0.6069469835466179,0.46629213483146065,0.8691099476439791,0.5400000000000003,0.283258855342865
HAX,0.8278617710583154,0.6532376213600853,0.5918367346938775,0.6041666666666666,0.58,0.6800000000000004,0.261758029460907
KDC,0.7841899235516256,0.6223427361910715,0.5867237687366167,0.5905172413793104,0.5829787234042553,0.6400000000000003,0.2820117175579071
MHC,0.7797938280288377,0.45797736601229144,0.5692307692307692,0.43023255813953487,0.8409090909090909,0.6000000000000003,0.24627791345119476
PAC,0.8278533347840279,0.5779795772388087,0.5380434782608695,0.532258064516129,0.5439560439560439,0.6600000000000004,0.2926829159259796
PET,0.7977720701036679,0.5922627404460618,0.6282306163021869,0.5146579804560261,0.8061224489795918,0.5800000000000003,0.2720812261104584
PGC,0.7863327370304114,0.590451632342434,0.6185185185185185,0.48405797101449277,0.8564102564102564,0.5600000000000003,0.2735719084739685
PPC,0.7921897145171086,0.5921935610430737,0.5706666666666667,0.5376884422110553,0.6079545454545454,0.5800000000000003,0.27363353967666626
PVD,0.7908038194849765,0.6282865097143244,0.5913621262458472,0.44611528822055135,0.8768472906403941,0.5200000000000002,0.2650395333766937
RAL,0.817670424813282,0.644474587428935,0.6552462526766595,0.5645756457564576,0.7806122448979592,0.5400000000000003,0.2848297357559204
SAM,0.8350657532089141,0.5663607541263055,0.625,0.5075187969924813,0.8132530120481928,0.5800000000000003,0.26469576358795166
SFI,0.8049483490130971,0.5694593512829302,0.6308411214953271,0.6136363636363636,0.6490384615384616,0.6000000000000003,0.3031969666481018
SJS,0.7901809523809523,0.5161866969858508,0.5858585858585859,0.4915254237288136,0.725,0.6400000000000003,0.2617071866989136
SSI,0.7805670038716124,0.57374969376419,0.6048,0.4489311163895487,0.9264705882352942,0.5600000000000003,0.25875237584114075
STB,0.8427415900830896,0.6427650078327043,0.6548323471400395,0.51875,0.8877005347593583,0.6200000000000003,0.2681833803653717
TDH,0.8201239442512356,0.5631668521834027,0.5258064516129032,0.3598233995584989,0.9760479041916168,0.4400000000000001,0.2619456946849823
VIP,0.7951544269045985,0.5537901665053724,0.5505376344086022,0.4129032258064516,0.8258064516129032,0.5800000000000003,0.2708834707736969
VNE,0.7953213029427747,0.47512457468974223,0.5225806451612903,0.49390243902439024,0.5547945205479452,0.6400000000000003,0.25472670793533325
VNM,0.8480445906432749,0.6435371279962745,0.6463700234192038,0.5328185328185329,0.8214285714285714,0.6000000000000003,0.272382915019989
